column_name,data_type,is_nullable,column_default
id,integer,NO,nextval('ppec_centers_id_seq'::regclass)
created_at,timestamp with time zone,YES,now()
updated_at,timestamp with time zone,YES,now()
name,text,NO,null
slug,text,NO,null
ahca_number,text,YES,null
license_number,text,YES,null
license_status,text,YES,'LICENSED'::text
license_effective_date,date,YES,null
license_expiration_date,date,YES,null
licensed_beds,integer,YES,null
address,text,YES,null
address2,text,YES,null
city,text,YES,null
county,text,YES,null
state,text,YES,'FL'::text
zip_code,text,YES,null
phone,text,YES,null
normalized_phone,text,YES,null
website,text,YES,null
owner,text,YES,null
admin_ceo,text,YES,null
profit_status,text,YES,null
latitude,numeric,YES,null
longitude,numeric,YES,null
description,text,YES,null
verified,boolean,YES,true
featured,boolean,YES,false
services,ARRAY,YES,'{}'::text[]
facebook_url,text,YES,null
instagram_url,text,YES,null
linkedin_url,text,YES,null
youtube_url,text,YES,null
tiktok_url,text,YES,null
email,text,YES,null
languages,ARRAY,YES,'{}'::text[]
x_url,text,YES,null
